text,airline_sentiment,label
Please dont. RT Our fleets on fleek.,neutral,1
ok!!! Thats super helpful. Thank you. Ill reach out if I have any other questions.,positive,2
I think me and my group could use some nice cold drinks once we get in the air...we are all over 21,neutral,1
your customer service is deplorable. I am disgusted in your company and the ignorant people on the phones for lost baggage.,negative,0
"Trying desperately to rebook my moms flight. Waited 10 hours for callback, got disconnected and they didnt call back. #help",negative,0
thats great! pls let me know when u start!,positive,2
Can you equip a 737 with flamethrowers and a snow plow?,neutral,1
"I am a frequent user. Congrats u only lost my bags once in 20 years. Problem, it was today and your staff were rude! still no bag!",negative,0
"if your policy changed, you must advise at the time of purchase. Same if you choose to vary it by airport! We want a FULL refund!!",negative,0
Flight 4968 N8325D departs MCO enroute to NOAirport,negative,0
havent eaten all day either so lemme get that CC# so I can buy a burger across from the terminal. #DoBetter UsAirwaysSuck,negative,0
Missed UA1568 connection due 2 mechanical failure UA1543 uplink prob. I will lose 400 in clients Mon. How can you compensate?,negative,0
okay ase24766m. Find our luggage.,negative,0
"Congrats to these fans who are seeing #DestinationDragons in L.A.! SLC, youre next! Thanks again SW",neutral,1
any updates on flight 1917 from Philly to LA? Been sitting at gate for close to 2 hours,negative,0
"my UA3426 on 219 was also delayed by 2 hours, stretching my trip way past the midnight, extremely exhausting!",negative,0
"719. Looks like we are about to get going, finally!",negative,0
will do. Hoping for a voucher for a future flight #Optimistic,positive,2
and that it would be sent on the next flight to Haydensteamboat HDN from Denver. So Im hoping its on there,negative,0
really??? NOT ONE OF THEM CAN BOOK DIVIDEND MILES TRAVEL Literally on hold now since 950pm its 1130pm #NoExcuses,negative,0
"MR, shes on her way now, but thought id detail the extravaganza for you... #dobetter #please",negative,0
132 characters does not cover my reasons Im afraid,negative,0
30 of us on flight 1750 trying to get to tel aviv that is trying to take off right now with out us so cruel. Next flight is 350pm,negative,0
when your routing system goes down which grounds all your long haul flights you should think about a #failover plan,negative,0
sitting in seat 10D on a flight back from Vegas to Chicago. Someone left a folder that looks important in the seat pocket. 12,neutral,1
Thanks for the reminder of a few older flights Id taken and the easy access to add points to my new JB account! Awesome service.,positive,2
I DMed you,neutral,1
